Date,Open,High,Low,Close,Volume,Diff,Gain,Loss,Avg. Gain,Avg. Loss,RS,1+RS,RSI_day_14,SMA_50,SMA_25
22-Mar-16,737.46,745,737.46,740.75,1264396,3.29,3.29,0,3.2428571429,-1.8935714286,1.7125612976,2.7125612976,63.1344736479,711.1626,712.6192
21-Mar-16,736.5,742.5,733.52,742.09,1831839,5.59,5.59,0,3.9285714286,-1.8935714286,2.0746887967,3.0746887967,67.476383266,710.8486,710.2316
18-Mar-16,741.86,742,731.83,737.6,2796376,-4.26,0,-4.26,3.9285714286,-1.7714285714,2.2177419355,3.2177419355,68.9223057646,710.969,708.052
17-Mar-16,736.45,743.07,736,737.78,1856800,1.33,1.33,0,3.8335714286,-2.0221428571,1.8957965383,2.8957965383,65.467187119,711.065,705.9056
16-Mar-16,726.37,737.47,724.51,736.09,1572329,9.72,9.72,0,3.5492857143,-2.0221428571,1.7552101731,2.7552101731,63.7051282052,711.18,703.5864
15-Mar-16,726.92,732.29,724.77,728.33,1720965,1.41,1.41,0,4.2085714286,-2.0221428571,2.0812433769,3.0812433769,67.5455691851,711.791,701.7628
14-Mar-16,726.81,735.5,725.15,730.49,1716910,3.68,3.68,0,3.9457142857,-2.4221428571,1.6290179888,2.6290179888,61.9629837352,712.6012,699.886
11-Mar-16,720,726.92,717.12,726.82,1963907,6.82,6.82,0,3.4585714286,-2.4928571429,1.3873925502,2.3873925502,58.1132981279,713.5968,699.1336
10-Mar-16,708.12,716.44,703.36,712.82,2829412,4.7,4.7,0,3.5428571429,-2.4928571429,1.4212034384,2.4212034384,58.6982248524,714.5906,699.6988
9-Mar-16,698.47,705.68,694,705.24,1418704,6.77,6.77,0,3.0592857143,-3.3964285714,0.9007360673,1.9007360673,47.3888028326,715.4538,702.0752
8-Mar-16,688.59,703.79,685.34,693.97,2063357,5.38,5.38,0,3.3464285714,-3.3964285714,0.985278654,1.985278654,49.6292372879,716.5806,704.3964
7-Mar-16,706.9,708.09,686.9,695.16,2985094,-11.74,0,-11.74,3.3464285714,-2.6992857143,1.2397459645,2.2397459645,55.3520793949,717.6774,706.308
4-Mar-16,714.99,716.49,706.02,710.89,1967873,-4.1,0,-4.1,3.3464285714,-2.9678571429,1.12755716,2.12755716,52.9977375563,718.415,707.1108
3-Mar-16,718.68,719.45,706.02,712.42,1956761,-6.26,0,-6.26,3.9257142857,-2.5207142857,1.5573816945,2.5573816945,60.8975069251,718.9528,706.6136
2-Mar-16,719,720,712,718.85,1627753,-0.15,0,-0.15,3.9257142857,-2.7057142857,1.4508975713,2.4508975713,59.1986212838,719.5644,706.3812
1-Mar-16,703.62,718.81,699.77,718.81,2147442,15.19,15.19,0,3.2542857143,-2.7057142857,1.2027455121,2.2027455121,54.6021093002,720.35,706.0956
29-Feb-16,700.32,710.89,697.68,697.77,2280280,-2.55,0,-2.55,4.3178571429,-2.5235714286,1.7110104727,2.7110104727,63.1133848405,721.2626,707.1948
26-Feb-16,708.58,713.43,700.86,705.07,2239978,-3.51,0,-3.51,4.3178571429,-3.7228571429,1.1598234843,2.1598234843,53.69992005,722.1166,707.2556
25-Feb-16,700.01,705.98,690.58,705.75,1631855,5.74,5.74,0,3.9078571429,-4.78,0.8175433353,1.8175433353,44.980679109,722.779,706.9636
24-Feb-16,688.92,700,680.78,699.56,1958611,10.64,10.64,0,3.1478571429,-7.8707142857,0.3999455486,1.3999455486,28.5686503309,723.777,707.0528
